Company name_1,Status_1,Year_1,Current assets_1,Cost goods sold_1,DEP and AMO_1,EBITDA_1,Inventory_1,Net income_1,Total Receivables_1,Market value_1,Net sales_1,Total assets_1,Long-term debt_1,EBIT_1,Gross Profit_1,Current Liabilities _1,Retained Earnings_1,Total Revenue_1,Total Liabilities_1,Operating Expenses_1,Current assets_2,Cost goods sold_2,DEP and AMO_2,EBITDA_2,Inventory_2,Net income_2,Total Receivables_2,Market value_2,Net sales_2,Total assets_2,Long-term debt_2,EBIT_2,Gross Profit_2,Current Liabilities _2,Retained Earnings_2,Total Revenue_2,Total Liabilities_2,Operating Expenses_2,Current assets_3,Cost goods sold_3,DEP and AMO_3,EBITDA_3,Inventory_3,Net income_3,Total Receivables_3,Market value_3,Net sales_3,Total assets_3,Long-term debt_3,EBIT_3,Gross Profit_3,Current Liabilities _3,Retained Earnings_3,Total Revenue_3,Total Liabilities_3,Operating Expenses_3
C_1,alive,2015,873.1,1354.9,70.8,136.9,563.7,47.7,242.7,842.5112,1662.6,1442.1,136.1,66.1,307.7,329.0,637.2,1662.6,576.3,1525.7,888.5,1422.7,71.0,148.2,601.1,56.5,251.4,1200.3288,1767.6,1504.1,155.3,77.2,344.9,335.1,688.0,1767.6,589.9,1619.4,942.7,1413.2,40.5,126.5,547.9,15.6,203.0,1551.458,1748.3,1524.7,177.2,86.0,335.1,333.3,701.2,1748.3,588.4,1621.8
C_10,alive,2016,822.219,2156.869,485.829,1341.813,282.587,442.034,355.403,8687.6261,3498.682,16004.253,4021.785,855.984,1341.813,1292.946,2211.725,3498.682,11068.341,2156.869,1016.288,2096.751,534.118,1468.545,289.27,488.456,415.068,9519.0354,3565.296,17019.082,4789.713,934.427,1468.545,1197.852,2397.509,3565.296,11883.352,2096.751,924.991,2335.206,582.354,1356.041,294.094,511.047,400.988,9551.0904,3691.247,17664.202,4638.232,773.687,1356.041,1648.964,2593.475,3691.247,12315.497,2335.206
C_100,alive,2011,54.852,47.233,20.703,43.537,2.908,31.746,14.205,2406.0002,104.78,282.996,2.0,22.834,57.547,18.334,249.009,104.78,24.358,61.243,64.577,56.667,26.904,51.598,4.074,39.061,21.996,362.4187,133.263,336.707,7.5,24.694,76.596,28.136,287.334,133.263,39.731,81.665,87.342,62.127,33.174,65.532,5.295,18.496,25.753,459.0008,149.023,375.254,5.0,32.358,86.896,37.227,305.803,149.023,59.796,83.491
C_1000,alive,2016,3671.0,1769.0,181.0,2516.0,0.0,2106.0,1122.0,27777.582,5661.0,8669.0,3564.0,2335.0,3892.0,2611.0,8437.0,5661.0,6888.0,3145.0,4324.0,1713.0,180.0,2939.0,0.0,1496.0,1319.0,42976.78,6063.0,9425.0,3170.0,2759.0,4350.0,3214.0,9376.0,6063.0,7307.0,3124.0,3604.0,1701.0,206.0,3162.0,0.0,1958.0,1449.0,42213.096,6258.0,9458.0,3662.0,2956.0,4557.0,2629.0,10542.0,6258.0,7154.0,3096.0
C_1001,alive,2016,36948.0,187082.0,768.0,4209.0,15278.0,5070.0,18215.0,31282.86,198533.0,60969.0,7305.0,3441.0,11451.0,35612.0,11046.0,198533.0,48369.0,194324.0,37136.0,196858.0,806.0,3911.0,16310.0,67.0,17711.0,28455.74,208357.0,60381.0,6751.0,3105.0,11499.0,36685.0,11268.0,208357.0,48865.0,204446.0,38465.0,202446.0,802.0,3816.0,16709.0,34.0,18246.0,22241.4,214319.0,59672.0,7265.0,3014.0,11873.0,37626.0,10558.0,214319.0,49992.0,210503.0
C_1002,alive,2016,60.444,80.93,0.907,8.046,27.944,4.692,13.763,58.6107,108.758,80.839,0.0,7.139,27.828,7.691,68.441,108.758,9.979,100.712,61.719,77.528,1.211,9.033,18.273,5.083,12.66,79.134,104.316,81.641,0.0,7.822,26.788,5.177,71.802,104.316,7.44,95.283,60.189,53.948,1.234,3.513,18.427,2.19,11.792,72.2314,73.892,80.364,0.0,2.279,19.944,4.754,72.594,73.892,5.375,70.379
C_1003,alive,2016,5.02,2.637,0.085,-0.276,0.676,-0.359,0.881,13.0669,7.056,5.18,0.0,-0.361,4.419,1.03,-120.98,7.056,1.03,7.332,6.018,2.153,0.081,1.067,0.694,0.582,1.406,9.4576,7.061,6.202,0.0,0.986,4.908,1.238,-120.398,7.061,1.238,5.994,7.562,2.231,0.096,1.619,0.863,1.936,0.871,7.6204,8.062,8.138,0.0,1.523,5.831,1.192,-118.462,8.062,1.192,6.443
C_1004,alive,2016,123.42,51.069,1.397,9.213,16.555,7.043,1.11,172.2125,69.991,128.712,0.0,7.816,18.922,8.191,107.881,69.991,8.507,60.778,137.118,58.321,1.128,11.364,23.455,8.418,1.184,254.4954,80.608,142.893,0.0,10.236,22.287,12.374,116.299,80.608,13.975,69.244,145.081,70.613,1.38,15.095,30.114,12.564,0.993,175.2191,98.614,153.023,0.0,13.715,28.001,8.486,128.863,98.614,10.844,83.519
C_1005,alive,2009,8158.6,55729.3,484.6,2750.5,1285.3,1280.3,4027.1,30324.8476,59804.2,17915.5,4000.1,2265.9,4074.9,6347.7,5165.4,59804.2,11528.3,57053.7,6685.7,61606.1,476.9,2956.2,1013.2,1427.3,4452.2,25153.6633,65968.3,17097.3,5003.6,2479.3,4362.2,6882.4,6583.4,65968.3,13110.5,63012.1,6680.5,65397.9,505.0,3140.2,897.8,1455.7,4870.3,21659.1817,70063.3,16962.8,3001.6,2635.2,4665.4,8749.3,8035.0,70063.3,12953.4,66923.1
C_1006,alive,2009,0.366,0.766,0.105,-1.821,0.19,-2.761,0.05,1.852,1.754,0.617,0.0,-1.926,0.988,9.065,-62.149,1.754,9.065,3.575,0.378,0.51,0.104,-1.334,0.213,-2.439,0.049,0.9311,1.606,0.532,0.0,-1.438,1.096,11.1,-64.588,1.606,11.1,2.94,0.482,0.254,0.087,-1.78,0.203,-3.097,0.035,0.5708,0.525,0.557,3.776,-1.867,0.271,10.442,-67.685,0.525,14.218,2.305
